country,year,continent,life_expectancy,population,co2_emissions,electric_power_consumption,forest_area,individuals_using_the_internet,military_expenditure,people_practicing_open_defecation,people_using_at_least_basic_drinking_water_services,beer_consumption_per_capita
Algeria,2011,Africa,75.199,36661438,3.294742583,1016.636782,0.808484553,14.9,4.325706359,2.270808327,92.51499419,0.21
Algeria,2012,Africa,75.436,37383899,3.609307651,1123.332915,0.811675498,18.2,4.46107862,1.977114639,92.74518845,0.23
Algeria,2013,Africa,75.661,38140135,3.644979345,1237.966109,0.814866442,22.5,4.844508917,1.693614807,92.97088353,0.26
Algeria,2014,Africa,75.878,38923688,3.795632251,1278.915242,0.818057387,29.5,5.548483336,1.419856885,93.19235149,0.28
Algeria,2015,Africa,76.09,39728020,3.933495912,1362.871884,0.821247986,38.2,6.270242856,1.155577807,93.40956153,0.31
Algeria,2016,Africa,75.732,40339329,3.833834222,,0.821247986,42.94552688,6.384928983,0.900352443,93.62277554,0.32
Algeria,2017,Africa,75.743,41136546,3.833681126,,0.815789794,47.69105515,5.924383327,0.653890725,93.83197493,0.3
Algeria,2018,Africa,76.066,41927007,3.924298722,,0.810331602,49.03846808,5.483588701,0.415795121,94.03741493,0.31
Algeria,2019,Africa,76.474,42705368,3.994401828,,0.81411035,58.97757455,5.999690259,0.185741475,94.23913986,0.31
Algeria,2020,Africa,74.453,43451666,3.71822337,,0.81830896,63.94999611,6.692468397,0,94.43732997,
Angola,2000,Africa,46.522,16395477,0.988077383,71.91083863,62.33144301,0.105045562,6.392603154,42.86651576,41.14430792,0.90147
Angola,2001,Africa,47.059,16945753,0.941828905,75.26465988,61.88621882,0.136013867,4.524353815,41.41483035,42.25467641,1.186
Angola,2002,Africa,47.702,17519418,0.895577672,82.61657065,61.44099463,0.270376746,2.869932445,39.9543904,43.37679859,1.31104
Angola,2003,Africa,48.44,18121477,0.924869437,86.01883921,60.99577043,0.370682065,3.761479074,38.48664423,44.3638732,1.32056
Angola,2004,Africa,49.263,18758138,0.930262948,95.85311396,60.55054624,0.464814618,3.471180187,37.01114547,45.35133457,1.44496
Angola,2005,Africa,50.165,19433604,0.813539291,87.53534066,60.10532205,1.143366827,3.692240947,35.53136957,46.33601912,2.39736
Angola,2006,Africa,51.143,20149905,0.821840076,109.2952187,59.66009786,1.5,3.761495305,34.24672633,47.15022864,2.7311
Angola,2007,Africa,52.177,20905360,0.811753508,144.7153225,59.21487367,1.7,3.114054493,32.95844872,47.96147053,2.90574
Angola,2008,Africa,53.243,21695636,0.888658009,133.2672578,58.76964947,1.9,3.573120364,31.66557533,48.77040378,3.26552
Angola,2009,Africa,54.311,22514275,0.939403983,172.3848981,58.32442528,2.3,4.709610048,30.37016137,49.57516542,3.95114
Angola,2010,Africa,55.35,23356247,0.976184198,189.2577043,57.87920109,2.8,4.177584566,29.0707389,50.37684093,4.23
Angola,2011,Africa,56.33,24220660,0.985522312,206.4544017,57.4339761,4.7,3.255660351,27.76785432,51.17483374,4.43
Angola,2012,Africa,57.236,25107925,0.950695879,207.0133514,56.9887511,7.7,3.236659499,26.46206917,51.9685411,4.59
Angola,2013,Africa,58.054,26015786,1.036293852,219.2534827,56.54352611,13,4.455239422,25.15396967,52.75734684,4.46
Angola,2014,Africa,58.776,26941773,1.099779111,280.2144821,56.09830111,21.4,4.698454516,23.84308961,53.5415069,4.5
Angola,2015,Africa,59.398,27884380,1.13504405,312.2288945,55.65307612,22,3.105426293,22.53427135,54.31692835,3.25
Angola,2016,Africa,61.092,29154746,1.012552124,,55.20784471,23.2,2.733334945,21.22659561,55.08427251,3.39
