LOCATION;TIME;PC_HEALTHXP;PC_GDP;USD_CAP;FLAG_CODES;TOTAL_SPEND
SWE;1997;13028;953;233056;;206163
SWE;1998;14286;1058;269433;;238474
SWE;1999;14635;1085;2946;;260953
SWE;2000;14511;1076;314697;;279203
SWE;2001;1461;1174;348639;B;310148
SWE;2002;14706;123;37614;;335703
SWE;2003;14215;1203;378634;;339189
SWE;2004;14128;1167;3916;;352187
SWE;2005;13922;1152;391434;;353448
SWE;2006;13952;1139;4263;;387102
SWE;2007;13704;1106;448828;;410592
SWE;2008;1365;1135;474925;;437864
SWE;2009;13475;1205;478419;;444859
SWE;2010;13301;1129;470326;;441078
SWE;2011;10245;1094;478705;;452339
SWE;2012;10149;111;496505;;472642
SWE;2013;9846;1093;499194;;479245
SWE;2014;9816;1094;507491;;492069
SWE;2015;9851;1085;51878;;508362
CHE;1985;11592;808;171227;;11079
CHE;1986;12105;865;189428;;123206
CHE;1987;10344;76;172362;;112813
CHE;1988;10682;79;19012;;125353
CHE;1989;10326;766;198234;;131764
CHE;1990;10549;777;213748;;143543
CHE;1991;10106;805;223999;;152319
CHE;1992;9692;808;227292;;156272
CHE;1993;10022;843;240318;;166739
CHE;1994;10055;853;249578;;17455
CHE;1995;10097;893;266307;B;187498
CHE;1996;10162;935;285052;;201584
CHE;1997;10453;96;305359;;216466
CHE;1998;10352;964;31686;;225287
CHE;1999;10623;1003;339043;;242212
CHE;2000;10836;1012;361001;;259352
CHE;2001;10741;1041;383731;;277432
CHE;2002;10395;105;395506;;288116
CHE;2003;10616;1103;414972;;304548
CHE;2004;10549;11;430299;;317975
CHE;2005;10622;1089;440715;;327765
CHE;2006;10399;102;458412;;343073
CHE;2007;10305;993;491141;;370866
CHE;2008;10137;991;518695;;396681
CHE;2009;10134;1053;543521;;420893
CHE;2010;14503;1558;824671;B;645298
CHE;2011;14439;1562;873221;;690927
CHE;2012;14307;1588;914396;;73123
CHE;2013;14083;16;956715;;77392
CHE;2014;13895;161;985969;;807375
CHE;2015;14014;169;1056053;;874665
TUR;1981;10714;276;12664;;56973
TUR;1982;12903;277;13611;;62645
TUR;1983;11905;261;13762;;64782
TUR;1984;10938;231;13098;;6302
TUR;1985;13889;207;12302;;60445
TUR;1986;12403;228;14455;;72461
TUR;1987;13333;253;17667;;9028
TUR;1990;22021;54;43847;;23643
TUR;1994;31628;83;75335;;433659
TUR;1999;27339;1221;100371;B;625184
TUR;2000;27806;1285;118272;;747954
GBR;1970;15819;628;22406;;124719
GBR;1971;15992;642;24816;;138712
GBR;1972;156;638;26713;;149823
GBR;1973;15005;603;28318;;159132
GBR;1974;14959;695;34671;;194955
GBR;1975;12706;627;33655;;189228
GBR;1976;13111;649;37833;;212667
GBR;1977;13654;662;41998;;236001
GBR;1978;13849;665;47027;;264275
GBR;1979;13627;646;51289;;288485
GBR;1980;13528;685;58008;;326668
GBR;1981;13383;707;64956;;365922
GBR;1982;14488;742;73881;;416051
GBR;1983;14289;76;81975;;461789
GBR;1984;15156;794;90486;;510541
GBR;1985;15008;771;94335;;533467
GBR;1986;1507;772;99163;;56207
GBR;1987;14468;749;103709;;589088
GBR;1988;14664;746;112847;;642419
GBR;1989;14777;744;11966;;68298
GBR;1990;14485;737;123408;;706481
GBR;1991;147;806;137486;;789512
GBR;1992;15092;896;15632;;900097
GBR;1993;1552;932;17023;;982544
GBR;1994;15948;969;187466;;1084786
GBR;1995;16126;913;184328;;1069453
GBR;1996;16546;935;201152;;117004
GBR;1997;16925;935;212206;B;1237521
GBR;2013;12185;1201;468513;B;3004491
GBR;2014;12049;1181;480649;;3105625
GBR;2015;12057;1191;497394;;323947
USA;2000;11365;1421;518109;;14619088
USA;2001;11729;1545;575975;;16413499
USA;2002;12075;1686;643351;;18504396
USA;2003;12327;1782;707226;;20517187
USA;2004;12505;1818;762271;;22319699
USA;2005;12471;1814;803701;;23750699
USA;2006;12725;1866;866302;;25848711
USA;2007;12641;1884;905301;;27270491
USA;2008;12399;1896;917815;;2791020
USA;2009;12331;2015;946894;;29048012
USA;2010;11938;1957;946859;;29290912
USA;2011;11855;1939;96558;;30093591
USA;2012;11459;1874;964237;;30276885
USA;2013;11384;1858;980864;;31015401
USA;2014;11968;1981;1081402;;34449516
USA;2015;12227;2068;1162399;;37300991
EST;1999;19973;1139;95332;;13253
EST;2000;2279;1177;110803;;15479
EST;2001;2552;1222;126176;;17515
EST;2002;27158;1285;148975;;20549
EST;2003;24654;1204;157352;;21569
EST;2004;25539;1301;187682;B;25573
EST;2005;24026;1191;196655;;26642
EST;2006;2376;1169;225173;;30327
EST;2007;21745;1093;240063;;32185
EST;2008;18788;1081;244933;;3275
EST;2009;19983;1307;268334;;3581
EST;2010;20458;1296;280186;;37306
EST;2011;1987;1157;283959;;37694
EST;2012;2015;1174;305562;;40417
EST;2013;19327;1164;319351;;4209
EST;2014;18703;1162;331543;;43583
EST;2015;1822;1187;343486;;45182
SVN;2002;22091;1766;35867;;71538
SVN;2003;21213;1714;362285;;72302
SVN;2004;21234;1683;383638;;76613
SVN;2005;21305;1697;406336;;81286
SVN;2006;21146;165;425293;;85351
SVN;2007;20077;1505;415215;;83795
SVN;2008;1907;1497;443436;;89632
SVN;2009;1975;1691;465075;;9486
SVN;2010;19847;1699;472268;;96748
SVN;2011;19633;1677;482969;;99146
SVN;2012;20247;1767;509632;;104839
SVN;2013;20358;1783;52646;;108448
SVN;2014;18606;1589;492577;;101568
SVN;2015;1833;1566;500567;;103294
ISR;2006;13293;923;236833;B;167055
ISR;2007;1357;938;257901;;185175
ISR;2008;13389;937;256823;;187707
ISR;2009;13974;991;272317;;203846
ISR;2010;13577;957;276113;;210498
ISR;2011;13388;938;286345;;22237
ISR;2012;13213;941;298796;;236363
ISR;2013;12924;915;313203;;252426
LVA;2004;2368;1475;180294;;40803
LVA;2005;22548;1321;182984;;40966
LVA;2006;23176;133;209574;;46491
LVA;2007;26523;153;277258;;61006
LVA;2008;21484;1209;234848;;51134
LVA;2009;24354;1499;253112;;54208
LVA;2010;25794;1586;279009;;58524
LVA;2011;26092;1454;287478;;59212
LVA;2012;25519;1383;293962;;59801
LVA;2013;26284;1419;32185;B;64777
LVA;2014;26845;1473;351889;;70159
LVA;2015;26761;1542;383852;;75908
LTU;2004;33914;1867;243511;;82235
LTU;2005;34341;1937;281439;;93509
LTU;2006;30993;1809;298436;;97586
LTU;2007;2847;1639;312933;;101118
LTU;2008;26126;1643;340758;;108982
LTU;2009;26661;1961;356225;;112671
LTU;2010;26716;1821;366563;;113535
LTU;2011;26038;1692;386589;;117064
LTU;2012;28942;182;448728;;13407
LTU;2013;28173;1728;461178;;136402
LTU;2014;27836;1724;485245;;142292
LTU;2015;26784;1745;504422;;14653
RUS;2015;22939;1286;3099;;4465562
